Name, Distance (km), Region, ____, Difficulty, _____ ,Season, Time(hours) 
name, distance, region, grade, difficulty, rating
[ "Sasamat Lake", 8, "Tri Cities", 1, 0 ],
[ "Sendero Diez Vistas", 15, "Tri Cities", 2, 0 ],
[ "Serpentine Fen Nature Trail", 3.5, "Surrey and Langley", 1, 0 ],
[ "Shadow Lake", 5, "Pemberton", 1, 0 ],
[ "Shoreline Trail", 6, "Tri Cities", 1, 0 ],
[ "Skyline Trail", 5, "The North Shore", 2, 0 ],
[ "St Mark's Summit", 11, "The North Shore", 2, 0 ],
[ "Stanley Park", 6.5, "Vancouver City", 1, 0 ],
[ "Stawamus Chief", 11, "Howe Sound", 2, 0 ],
[ "Sumas Mountain", 13.5, "Fraser Valley East", 2, 0 ],
[ "Teapot Hill", 5, "Fraser Valley East", 1, 0 ],
[ "The Lions Binkert Trail", 16, "Howe Sound", 3, 0 ],
[ "Thunderbird Ridge", 6, "The North Shore", 1, 0 ],
[ "Two Canyon Loop", 8, "The North Shore", 2, 0 ],
[ "Tynehead Regional Park", 4.5, "Surrey and Langley", 1, 0 ],
[ "UBC Malcolm Knapp Research Forest", 8, "Ridge Meadows", 2, 0 ],
[ "Upper Shannon Falls", 7.5, "Howe Sound", 2, 0 ],
[ "Velodrome Trail", 3, "Vancouver City, 2, 0 ],
[ "Wedgemount Lake", 14, "Whistler", 3, 0 ],
[ "Whippoorwill Point Trail", 4, "Fraser Valley East", 1, 0 ],
[ "Whyte Lake", 5, "The North Shore", 1, 0 ],
[ "Whytecliff Park", 2, "The North Shore", 1, 0 ],
[ "Widgeon Falls", 6, "Ridge Meadows", 1, 0 ],
[ "Woodland Walk Trail", 8, "Tri Cities", 1, 0 ]
